# SFHo EOS Table: 2famphi, nucleons_hyperons_deltas
# Equilibrium: beta_eq
# Components: photons
#            n_B              T          sigma          omega            rho            phi           mu_B           mu_C           mu_S           mu_e          mu_nu        P_total        e_total        s_total            Y_C            Y_S            Y_L      converged
  5.135485e-01              0   6.792008e+01   5.646845e+01  -3.115582e+00  -5.109922e-02   1.142558e+03  -1.533165e+02   0.000000e+00   1.533165e+02   0.000000e+00   6.315336e+01   5.139880e+02   0.000000e+00   3.084588e-02   3.167805e-03   0.000000e+00              1
  5.198487e-01              0   6.844848e+01   5.717237e+01  -3.038175e+00  -8.847669e-02   1.145920e+03  -1.520765e+02   0.000000e+00   1.520765e+02   0.000000e+00   6.489074e+01   5.211485e+02   0.000000e+00   2.973868e-02   5.418480e-03   0.000000e+00              1
  5.261490e-01              0   6.896873e+01   5.787262e+01  -2.961385e+00  -1.309719e-01   1.149291e+03  -1.508456e+02   0.000000e+00   1.508456e+02   0.000000e+00   6.665367e+01   5.283422e+02   0.000000e+00   2.867487e-02   7.924923e-03   0.000000e+00              1
  5.324492e-01              0   6.948160e+01   5.857000e+01  -2.885353e+00  -1.777390e-01   1.152677e+03  -1.496238e+02   0.000000e+00   1.496238e+02   0.000000e+00   6.844567e+01   5.355683e+02   0.000000e+00   2.765259e-02   1.062747e-02   0.000000e+00              1
  5.387494e-01              0   6.998758e+01   5.926498e+01  -2.810193e+00  -2.282377e-01   1.156081e+03  -1.484113e+02   0.000000e+00   1.484113e+02   0.000000e+00   7.026897e+01   5.428262e+02   0.000000e+00   2.667020e-02   1.348733e-02   0.000000e+00              1
  5.450497e-01              0   7.048705e+01   5.995788e+01  -2.735996e+00  -2.820916e-01   1.159506e+03  -1.472086e+02   0.000000e+00   1.472086e+02   0.000000e+00   7.212510e+01   5.501155e+02   0.000000e+00   2.572619e-02   1.647705e-02   0.000000e+00              1
  5.513499e-01              0   7.098032e+01   6.064890e+01  -2.662843e+00  -3.390220e-01   1.162954e+03  -1.460161e+02   0.000000e+00   1.460161e+02   0.000000e+00   7.401515e+01   5.574359e+02   0.000000e+00   2.481912e-02   1.957610e-02   0.000000e+00              1
  5.576501e-01              0   7.146762e+01   6.133818e+01  -2.590799e+00  -3.988138e-01   1.166425e+03  -1.448341e+02   0.000000e+00   1.448341e+02   0.000000e+00   7.593994e+01   5.647872e+02   0.000000e+00   2.394762e-02   2.276847e-02   0.000000e+00              1
  5.639504e-01              0   7.194915e+01   6.202584e+01  -2.519925e+00  -4.612952e-01   1.169920e+03  -1.436631e+02   0.000000e+00   1.436631e+02   0.000000e+00   7.790007e+01   5.721692e+02   0.000000e+00   2.311034e-02   2.604136e-02   0.000000e+00              1
  5.702506e-01              0   7.242510e+01   6.271195e+01  -2.450271e+00  -5.263253e-01   1.173440e+03  -1.425034e+02   0.000000e+00   1.425034e+02   0.000000e+00   7.989600e+01   5.795816e+02   0.000000e+00   2.230599e-02   2.938421e-02   0.000000e+00              1
  5.765508e-01              0   7.289562e+01   6.339654e+01  -2.381880e+00  -5.937856e-01   1.176984e+03  -1.413555e+02   0.000000e+00   1.413555e+02   0.000000e+00   8.192808e+01   5.870243e+02   0.000000e+00   2.153333e-02   3.278820e-02   0.000000e+00              1
  5.828511e-01              0   7.336084e+01   6.407966e+01  -2.314790e+00  -6.635747e-01   1.180552e+03  -1.402195e+02   0.000000e+00   1.402195e+02   0.000000e+00   8.399656e+01   5.944972e+02   0.000000e+00   2.079114e-02   3.624581e-02   0.000000e+00              1
  5.891513e-01              0   7.382090e+01   6.476131e+01  -2.249033e+00  -7.356043e-01   1.184144e+03  -1.390957e+02   0.000000e+00   1.390957e+02   0.000000e+00   8.610162e+01   6.019999e+02   0.000000e+00   2.007823e-02   3.975053e-02   0.000000e+00              1
  5.954515e-01              0   7.427591e+01   6.544150e+01  -2.184635e+00  -8.097963e-01   1.187760e+03  -1.379845e+02   0.000000e+00   1.379845e+02   0.000000e+00   8.824338e+01   6.095323e+02   0.000000e+00   1.939346e-02   4.329671e-02   0.000000e+00              1
  6.017518e-01              0   7.472597e+01   6.612023e+01  -2.121617e+00  -8.860805e-01   1.191400e+03  -1.368860e+02   0.000000e+00   1.368860e+02   0.000000e+00   9.042190e+01   6.170942e+02   0.000000e+00   1.873571e-02   4.687932e-02   0.000000e+00              1
  6.080520e-01              0   7.517120e+01   6.679751e+01  -2.059996e+00  -9.643933e-01   1.195062e+03  -1.358003e+02   0.000000e+00   1.358003e+02   0.000000e+00   9.263723e+01   6.246853e+02   0.000000e+00   1.810389e-02   5.049391e-02   0.000000e+00              1
  6.143522e-01              0   7.561167e+01   6.747331e+01  -1.999783e+00  -1.044677e+00   1.198747e+03  -1.347276e+02   0.000000e+00   1.347276e+02   0.000000e+00   9.488935e+01   6.323055e+02   0.000000e+00   1.749697e-02   5.413647e-02   0.000000e+00              1
  6.206525e-01              0   7.604747e+01   6.814763e+01  -1.940986e+00  -1.126876e+00   1.202453e+03  -1.336680e+02   0.000000e+00   1.336680e+02   0.000000e+00   9.717825e+01   6.399545e+02   0.000000e+00   1.691392e-02   5.780339e-02   0.000000e+00              1
  6.269527e-01              0   7.647870e+01   6.882045e+01  -1.883609e+00  -1.210942e+00   1.206181e+03  -1.326216e+02   0.000000e+00   1.326216e+02   0.000000e+00   9.950386e+01   6.476321e+02   0.000000e+00   1.635377e-02   6.149137e-02   0.000000e+00              1
