M_max_Msun,R_max_km,sigma_crit_star
2.2215628351078065,12.636016577129453,84.8101998824067
2.244481911819185,12.742530398029409,84.8101998824067
2.2696358803189574,12.85621363913868,84.8101998824067
2.296543880737637,12.97615378244366,84.8101998824067
2.3251638173183067,13.102134377393801,84.81020333648935
2.203992462413839,12.266326209032174,84.92566898232782
2.355996785433601,13.244338349394948,84.982117023594
2.27433363389439,12.681931225530242,84.99010309351551
2.1368951543030703,11.867485063044395,85.33904510727487
2.3486703324774982,13.132071716743873,85.87671833839629
2.072851774389311,11.487339930586067,86.31059605909704
2.3892013547362443,13.39308367579036,86.376931179698
2.310262773098771,12.883660697605015,86.55067486391764
2.2381096485346337,12.453946653210387,86.56151338373945
2.1956026983978467,12.549605049964892,86.61269470728882
2.213168801315598,12.63161248767599,86.61269470728882
2.232602565453217,12.723399119199236,86.61269470728882
2.2545566544060316,12.822185816029721,86.61269470728882
2.278298493034673,12.928548562525261,86.61269470728882
2.3038686464948004,13.047060969625495,86.61269470728882
2.331197372107428,13.173398793724326,86.61269470728882
2.3613335473052506,13.309401797685851,86.61269471004505
2.3932252811059893,13.451138727887157,86.71247925620443
2.169378924326748,12.04385736054679,87.12808881149574
2.386023189250851,13.332704990872077,87.41466240658076
2.426868355431615,13.59846934312467,87.959571683124
2.346362418852293,13.080302482666264,88.06940144803875
2.272479814921578,12.639883585239694,88.1400149979057
2.1037376644427686,11.655375675663812,88.26790072188687
2.0116017146396117,11.122801882991096,88.45257528835819
2.202326419027293,12.222753028720051,88.83896778210519
2.423980307776401,13.546237833331034,88.91563757384563
2.3837355904863617,13.284764997646993,89.54754802552131
2.3083768374328315,12.835934402431345,89.66783504133124
2.135612873201987,11.824511152071219,90.13993032409891
2.041007342037608,11.283773845930003,90.32942428365773
2.4627502248779995,13.752960122614665,90.38232287814824
2.0197631069959847,11.355235766299314,90.46398263468204
2.236674858368109,12.407191007963053,90.48007970764539
2.0143896743945193,11.29835508776226,90.76667347914737
2.421902775704718,13.493403981342585,90.9879196856672
2.344760848860462,13.032174219420732,91.14799440263617
2.003615560167223,11.313618228707814,91.8324973693806
2.025795961445802,11.41210386845997,91.8324973693806
2.1683316092552625,12.003880016257517,91.92889131877753
2.2712895265089617,12.597797889911236,92.05877152412496
2.071884482502223,11.44875505262612,92.1862738890837
2.0100194614375924,11.247476757467389,92.36598333571447
2.4605590123263092,13.703426321361489,92.39255289800808
2.049235288249255,11.518383679682573,92.50865088677607
2.3819890694925774,13.235232628591923,92.58601995214433
2.043995927049331,11.462254143060202,92.6931979807275
2.3071019098251577,12.78619131053247,93.58130051252712
2.201202983984069,12.179131079215683,93.63996580486392
2.5010734570316315,13.923794283775408,93.76310784604715
2.420470468656029,13.442839478914888,93.98372413840407
