n_B_over_n0,T_MeV,R_star_fm
2.209364497789008,30.0,1.96537231
2.249163613392293,30.0,1.95635678
2.2889633607075175,30.0,1.94797278
2.328762476310802,30.0,1.9402146
2.368561591914087,30.0,1.93305855
2.4083613392293115,30.0,1.9264429
2.448160454832596,30.0,1.92034648
2.4879595704358817,30.0,1.91476967
2.5277593177511055,30.0,1.9096536
2.56755843335439,30.0,1.90500037
2.6073575489576757,30.0,1.90077264
2.6471572962728995,30.0,1.8969328
2.686956411876184,30.0,1.89346398
2.726756159191409,30.0,1.89036946
2.7665552747946935,30.0,1.88757087
2.8063543903979786,30.0,1.88509177
2.846154137713203,30.0,1.8829137
2.8859532533164876,30.0,1.88097649
2.9257523689197726,30.0,1.87928133
2.965552116234997,30.0,1.8778071
3.0053512318382816,30.0,1.87653268
3.0451503474415667,30.0,1.87545617
3.084950094756791,30.0,1.87451026
3.124749210360076,30.0,1.87373519
3.1645483259633607,30.0,1.87305967
3.204348073278585,30.0,1.87249979
3.2441471888818696,30.0,1.87202574
3.283946304485155,30.0,1.87160655
3.323746051800379,30.0,1.87125473
3.3635451674036636,30.0,1.87093728
3.403344283006949,30.0,1.87064121
3.443144030322173,30.0,1.87033114
3.4829431459254576,30.0,1.87003994
3.522742261528743,30.0,1.86968122
3.562542008843967,30.0,1.86931254
3.6023411244472525,30.0,1.86886932
3.642140240050537,30.0,1.86835943
3.681939987365761,30.0,1.86776751
3.7217391029690465,30.0,1.86710172
3.761538218572331,30.0,1.86629532
3.801337965887555,30.0,1.86538612
3.8411370814908405,30.0,1.86435515
3.880936197094125,30.0,1.86319296
3.92073594440935,30.0,1.86185826
3.9605350600126346,30.0,1.86038842
4.00033417561592,30.0,1.85875231
4.040133922931144,30.0,1.8569352
4.079933038534429,30.0,1.85496009
4.119732154137713,30.0,1.85279341
4.1595319014529375,30.0,1.85043134
4.199331017056222,30.0,1.84787893
4.239130132659508,30.0,1.84513145
4.278929879974732,30.0,1.84219341
4.318728995578017,30.0,1.83901959
4.358528742893241,30.0,1.83567015
4.3983278584965255,30.0,1.8321052
4.43812697409981,30.0,1.82833976
4.477926721415035,30.0,1.8243635
4.51772583701832,30.0,1.82016782
4.557524952621605,30.0,1.81575068
4.597324699936829,30.0,1.81113634
4.6371238155401135,30.0,1.80632627
4.676922931143398,30.0,1.80126887
4.716722678458623,30.0,1.7960259
4.756521794061908,30.0,1.79057408
4.796320909665193,30.0,1.78490081
4.836120656980417,30.0,1.77904534
4.875919772583702,30.0,1.77296349
4.915718888186986,30.0,1.76667319
4.955518635502211,30.0,1.76019205
4.995317751105496,30.0,1.75350981
5.035116866708781,30.0,1.74664928
5.074916614024005,30.0,1.73956811
5.11471572962729,30.0,1.73229138
5.154514845230575,30.0,1.72481362
5.194314592545799,30.0,1.71715303
5.234113708149084,30.0,1.70930281
5.273912823752369,30.0,1.70128655
5.313712571067593,30.0,1.6930651
5.353511686670878,30.0,1.68466111
5.393310802274163,30.0,1.67606299
5.433110549589387,30.0,1.66729275
5.472909665192672,30.0,1.65836563
5.512708780795958,30.0,1.64924374
5.552508528111181,30.0,1.63993946
5.592307643714466,30.0,1.6304949
5.632106759317751,30.0,1.62086923
5.6719065066329755,30.0,1.61110417
5.711705622236261,30.0,1.6011497
5.751504737839546,30.0,1.5910449
5.791304485154769,30.0,1.5808005
5.831103600758055,30.0,1.57039744
5.870902716361339,30.0,1.55986494
5.9107024636765635,30.0,1.5491579
5.950501579279849,30.0,1.53833539
5.990300694883134,30.0,1.52740019
6.030100442198358,30.0,1.51630216
6.069899557801643,30.0,1.50509992
6.109699305116867,30.0,1.49377036
6.149498420720152,30.0,1.48231225
6.189297536323437,30.0,1.47078291
6.22909728363866,30.0,1.45910461
6.268896399241946,30.0,1.44735534
6.308695514845231,30.0,1.43548788
6.348496525584333,30.0,1.42355453
6.3882943777637395,30.0,1.41152774
6.428092229943147,30.0,1.39941209
6.467890082122553,30.0,1.38720764
6.507694251421352,30.0,1.37496492
6.547492103600758,30.0,1.36263798
6.587289955780164,30.0,1.3502518
6.62708780795957,30.0,1.33780715
6.666891977258371,30.0,1.3253069
6.706689829437776,30.0,1.31277609
6.746487681617182,30.0,1.30019394
6.786285533796589,30.0,1.28758505
6.826089703095389,30.0,1.27492956
6.865887555274795,30.0,1.26227349
