alpha_s,B4_MeV,Delta0_MeV,sigma_crit_star,M_max_Msun,reject_reason_code
0.0,153.0,40.0,,1.7824016923848471,4
0.0,154.0,40.0,,1.7594923139202645,4
0.0,155.0,40.0,,1.7370237652878682,4
0.0,156.0,40.0,,1.714971424823274,4
0.0,157.0,40.0,,1.6933190647583678,4
0.0,158.0,40.0,,1.6721001933399207,4
0.0,159.0,40.0,,1.6512468116445025,4
0.0,160.0,40.0,,1.6307918045450462,4
0.0,161.0,40.0,,1.6107082885947124,4
0.0,162.0,40.0,,,1
0.0,163.0,40.0,,,1
0.0,164.0,40.0,,,1
0.0,165.0,40.0,,,1
0.0,166.0,40.0,,,1
0.0,167.0,40.0,,,1
0.0,168.0,40.0,,,1
0.0,169.0,40.0,,,1
0.0,170.0,40.0,,,1
0.0,171.0,40.0,,,1
0.0,172.0,40.0,,,1
0.0,173.0,40.0,,,1
0.0,174.0,40.0,,,1
0.0,175.0,40.0,,,1
0.0,176.0,40.0,,,1
0.0,177.0,40.0,,,1
0.0,178.0,40.0,,,1
0.0,179.0,40.0,,,1
0.0,180.0,40.0,,,1
0.0,130.0,44.0,,2.486173488920508,6
0.0,131.0,44.0,,2.448196546129537,6
0.0,132.0,44.0,,2.411151222914202,6
0.0,133.0,44.0,,2.3749190457859033,6
0.0,134.0,44.0,,2.339432057375358,6
0.0,135.0,44.0,,2.30478393067209,6
0.0,136.0,44.0,,2.270890868253428,6
0.0,137.0,44.0,,2.2378378457587953,6
0.0,138.0,44.0,,2.2054275364055282,6
0.0,139.0,44.0,,2.173738941482797,6
0.0,140.0,44.0,,2.1426972486905225,6
0.0,141.0,44.0,,2.1123651621099744,6
0.0,142.0,44.0,,2.0826972830181756,6
0.0,143.0,44.0,,2.053586987849915,6
0.0,144.0,44.0,,2.0251582066824305,6
0.0,145.0,44.0,,1.9972248456437252,4
0.0,146.0,44.0,,1.9699666059672307,4
0.0,147.0,44.0,,1.9432365227000248,4
0.0,148.0,44.0,,1.917012320798201,4
0.0,149.0,44.0,,1.8913604922600467,4
0.0,150.0,44.0,,1.866242395629099,4
0.0,151.0,44.0,,1.8415829523149685,4
0.0,152.0,44.0,,1.817443653556478,4
0.0,153.0,44.0,,1.7937503878816985,4
0.0,154.0,44.0,,1.7705150198021335,4
0.0,155.0,44.0,,1.7477274643953349,4
0.0,156.0,44.0,,1.7254177779848698,4
0.0,157.0,44.0,,1.7035000904925646,4
0.0,158.0,44.0,,1.6819947538725817,4
0.0,159.0,44.0,,1.6608754481269874,4
0.0,160.0,44.0,,1.6402063609987065,4
0.0,161.0,44.0,,1.6199100951275551,4
0.0,162.0,44.0,,1.5999885781867693,4
0.0,163.0,44.0,,,1
0.0,164.0,44.0,,,1
0.0,165.0,44.0,,,1
0.0,166.0,44.0,,,1
0.0,167.0,44.0,,,1
0.0,168.0,44.0,,,1
0.0,169.0,44.0,,,1
0.0,170.0,44.0,,,1
0.0,171.0,44.0,,,1
0.0,172.0,44.0,,,1
0.0,173.0,44.0,,,1
0.0,174.0,44.0,,,1
0.0,175.0,44.0,,,1
0.0,176.0,44.0,,,1
0.0,177.0,44.0,,,1
0.0,178.0,44.0,,,1
0.0,179.0,44.0,,,1
0.0,180.0,44.0,,,1
0.0,130.0,48.0,,2.510099663936471,6
0.0,131.0,48.0,,2.4714382294545367,6
0.0,132.0,48.0,,2.433625797554585,6
0.0,133.0,48.0,,2.3967545123161758,6
0.0,134.0,48.0,,2.3606291596811446,6
0.0,135.0,48.0,,2.325376445681699,6
0.0,136.0,48.0,,2.290911025908991,6
0.0,137.0,48.0,,2.2572365385849946,6
0.0,138.0,48.0,,2.224261281146643,6
0.0,139.0,48.0,,2.1920268283002375,6
0.0,140.0,48.0,,2.160514134211259,6
0.0,141.0,48.0,,2.129657643902884,6
0.0,142.0,48.0,,2.099471253736494,6
0.0,143.0,48.0,,2.069941022957745,6
0.0,144.0,48.0,,2.041026135313343,6
0.0,145.0,48.0,114.30688916068519,2.012705959975256,5
0.0,146.0,48.0,,1.9849880305579937,4
0.0,147.0,48.0,,1.9578515747817296,4
0.0,148.0,48.0,,1.9312649949479215,4
0.0,149.0,48.0,,1.9052143619243858,4
0.0,150.0,48.0,,1.8796763957810347,4
0.0,151.0,48.0,,1.8547045772782973,4
0.0,152.0,48.0,,1.8301744553662795,4
0.0,153.0,48.0,,1.80614108244489,4
0.0,154.0,48.0,,1.7825982017087223,4
0.0,155.0,48.0,,1.7594734486470558,4
0.0,156.0,48.0,,1.7368538925219026,4
0.0,157.0,48.0,,1.7146786383574923,4
0.0,158.0,48.0,,1.6928993591468107,4
0.0,159.0,48.0,,1.671549814529035,4
0.0,160.0,48.0,,1.6505965953289303,4
0.0,161.0,48.0,,1.6300351561114308,4
0.0,162.0,48.0,,1.609849377700763,4
0.0,163.0,48.0,,,1
0.0,164.0,48.0,,,1
0.0,165.0,48.0,,,1
0.0,166.0,48.0,,,1
0.0,167.0,48.0,,,1
0.0,168.0,48.0,,,1
0.0,169.0,48.0,,,1
0.0,170.0,48.0,,,1
0.0,171.0,48.0,,,1
0.0,172.0,48.0,,,1
0.0,173.0,48.0,,,1
0.0,174.0,48.0,,,1
0.0,175.0,48.0,,,1
0.0,176.0,48.0,,,1
0.0,177.0,48.0,,,1
0.0,178.0,48.0,,,1
0.0,179.0,48.0,,,1
0.0,180.0,48.0,,,1
0.0,130.0,52.0,,2.536341967522609,6
0.0,131.0,52.0,,2.496875629406897,6
0.0,132.0,52.0,,2.4583450586756133,6
