T_MeV,phase,nBH_over_n0,R_star_fm,W_over_T,log10_tau_s
40.0,unpCFL,1.7317725837018318,3.43621881,155.0845795,-6.983876922215897
40.0,unpCFL,1.771571699305117,3.43621881,153.68256449999998,-7.623417612471649
40.0,unpCFL,1.8113714466203412,3.43621881,152.32998175,-8.24112722310483
40.0,unpCFL,1.8511705622236259,3.43621881,151.025666,-8.837525585988438
40.0,unpCFL,1.890969677826911,3.43621881,149.76896075,-9.412911819690486
40.0,unpCFL,1.9307694251421352,3.43621881,148.55881625,-9.967754022149364
40.0,unpCFL,1.9705685407454203,3.43621881,147.394231,-10.502496986075286
40.0,unpCFL,2.010367656348705,3.43621881,146.2747475,-11.017350705403548
40.0,unpCFL,2.050167403663929,3.43621881,145.19893325,-11.51294414123984
40.0,unpCFL,2.089966519267214,3.43621881,144.16632175,-11.98948875366911
40.0,unpCFL,2.129765634870499,3.43621881,143.17600050000001,-12.447386087474548
40.0,unpCFL,2.169565382185723,3.43621881,142.22665875,-12.887210529514014
40.0,unpCFL,2.209364497789008,3.43621881,141.31714675,-13.309462821692236
40.0,unpCFL,2.249163613392293,3.43621881,140.448885,-13.713539975520074
40.0,unpCFL,2.2889633607075175,3.43621881,139.61668075,-14.10168135911484
40.0,unpCFL,2.328762476310802,3.43621881,138.82376775,-14.472501162430364
40.0,unpCFL,2.368561591914087,3.43621881,138.06484325,-14.828283776515054
40.0,unpCFL,2.4083613392293115,3.43621881,137.34311075,-15.167656063030076
40.0,unpCFL,2.448160454832596,3.43621881,136.65319225000002,-15.492931152732112
40.0,unpCFL,2.4879595704358817,3.43621881,135.9983755,-15.802699310378998
40.0,unpCFL,2.5277593177511055,3.43621881,135.37308425,-16.099357494690935
40.0,unpCFL,2.56755843335439,3.43621881,134.780669,-16.381467492529783
40.0,unpCFL,2.6073575489576757,3.43621881,134.21534225,-16.651514780553537
40.0,unpCFL,2.6471572962728995,3.43621881,133.68051350000002,-16.90803477223561
40.0,unpCFL,2.686956411876184,3.43621881,133.17016225,-17.15361181982144
40.0,unpCFL,2.726756159191409,3.43621881,132.6876805,-17.386787769518275
40.0,unpCFL,2.7665552747946935,3.43621881,132.22685274999998,-17.61022880325258
40.0,unpCFL,2.8063543903979786,3.43621881,131.79096175,-17.82252348302159
40.0,unpCFL,2.846154137713203,3.43621881,131.3760365,-18.02537329478693
40.0,unpCFL,2.8859532533164876,3.43621881,130.98043475,-18.21947957269417
40.0,unpCFL,2.9257523689197726,3.43621881,130.602431,-18.405578363919027
40.0,unpCFL,2.965552116234997,3.43621881,130.24489799999998,-18.58243550889436
40.0,unpCFL,3.0053512318382816,3.43621881,129.9011935,-18.75289484752154
40.0,unpCFL,3.0451503474415667,3.43621881,129.57165125,-18.916809363656526
40.0,unpCFL,3.084950094756791,3.43621881,129.25672075,-19.073983489133777
40.0,unpCFL,3.124749210360076,3.43621881,128.951664,-19.22644393183339
40.0,unpCFL,3.1645483259633607,3.43621881,128.65914725,-19.37304437459311
40.0,unpCFL,3.204348073278585,3.43621881,128.37433625,-19.515853684542403
40.0,unpCFL,3.2441471888818696,3.43621881,128.09724275000002,-19.654863641431184
40.0,unpCFL,3.283946304485155,3.43621881,127.827889,-19.790062049233207
40.0,unpCFL,3.323746051800379,3.43621881,127.561058,-19.92368083098868
40.0,unpCFL,3.3635451674036636,3.43621881,127.29913375000001,-20.054698368678945
40.0,unpCFL,3.403344283006949,3.43621881,127.03944349999999,-20.184257004848554
40.0,unpCFL,3.443144030322173,3.43621881,126.779042,-20.31361684357062
40.0,unpCFL,3.4829431459254576,3.43621881,126.52032025000001,-20.44175463071365
40.0,unpCFL,3.522742261528743,3.43621881,126.25758900000001,-20.5711067300273
40.0,unpCFL,3.562542008843967,3.43621881,125.99336825,-20.700594017261878
40.0,unpCFL,3.6023411244472525,3.43621881,125.7272955,-20.830374733915605
40.0,unpCFL,3.642140240050537,3.43621881,125.45072150000001,-20.964152863298352
40.0,unpCFL,3.681939987365761,3.43621881,125.17175875000001,-21.098459176483235
40.0,unpCFL,3.7217391029690465,3.43621881,124.88451549999999,-21.235818760755183
40.0,unpCFL,3.761538218572331,3.43621881,124.58591175,-21.377553466816014
40.0,unpCFL,3.801337965887555,3.43621881,124.28176699999999,-21.521177820635394
40.0,unpCFL,3.8411370814908405,3.43621881,123.962491,-21.67080338902326
