flavor_mode,phase,nBH_over_n0,T_nuc_MeV
saddlepoint,cfl,4.955518635502211,12.655915895664487
saddlepoint,cfl,4.995317751105496,12.508538795167318
saddlepoint,cfl,5.035116866708781,12.363698553291934
saddlepoint,cfl,5.074916614024005,12.221728394342797
saddlepoint,cfl,5.11471572962729,12.081594145785227
saddlepoint,cfl,5.154514845230575,11.94334591740632
saddlepoint,cfl,5.194314592545799,11.806602894452569
saddlepoint,cfl,5.234113708149084,11.670843114966935
saddlepoint,cfl,5.273912823752369,11.536106383170477
saddlepoint,cfl,5.313712571067593,11.401685710325093
saddlepoint,cfl,5.353511686670878,11.267547294574221
saddlepoint,cfl,5.393310802274163,11.133878975467335
saddlepoint,cfl,5.433110549589387,11.00007476665757
saddlepoint,cfl,5.472909665192672,10.866647124290612
saddlepoint,cfl,5.512708780795958,10.733496154596848
saddlepoint,cfl,5.552508528111181,10.600662326511216
saddlepoint,cfl,5.592307643714466,10.468302276661294
saddlepoint,cfl,5.632106759317751,10.336956937642075
saddlepoint,cfl,5.6719065066329755,10.20671904622429
saddlepoint,cfl,5.711705622236261,10.07831786399376
saddlepoint,cfl,5.751504737839546,9.951401346580674
saddlepoint,cfl,5.791304485154769,9.826896927792854
saddlepoint,cfl,5.831103600758055,9.70234321163064
saddlepoint,cfl,5.870902716361339,9.575695863463832
saddlepoint,cfl,5.9107024636765635,9.447306877458646
saddlepoint,cfl,5.950501579279849,9.316441752460255
saddlepoint,cfl,5.990300694883134,9.18320369485815
saddlepoint,cfl,6.030100442198358,9.046683529904787
saddlepoint,cfl,6.069899557801643,8.907299869045708
saddlepoint,cfl,6.109699305116867,8.76467028269451
saddlepoint,cfl,6.149498420720152,8.618771412259422
saddlepoint,cfl,6.189297536323437,8.469942675872334
saddlepoint,cfl,6.22909728363866,8.3184120925472
saddlepoint,cfl,6.268896399241946,8.164568966182225
saddlepoint,cfl,6.308695514845231,8.00947217080099
saddlepoint,cfl,6.348496525584333,7.854035785515597
saddlepoint,cfl,6.3882943777637395,7.701365149618215
saddlepoint,cfl,6.428092229943147,7.553219031375749
saddlepoint,cfl,6.467890082122553,7.410949631238293
saddlepoint,cfl,6.507694251421352,7.274580771884146
saddlepoint,cfl,6.547492103600758,7.143878640965119
saddlepoint,cfl,6.587289955780164,7.0179371814855305
saddlepoint,cfl,6.62708780795957,6.89613171741546
saddlepoint,cfl,6.666891977258371,6.777157878144911
saddlepoint,cfl,6.706689829437776,6.660256222842933
saddlepoint,cfl,6.746487681617182,6.544417868505766
saddlepoint,cfl,6.786285533796589,6.428601261611455
saddlepoint,cfl,6.826089703095389,6.311666759474603
saddlepoint,cfl,6.865887555274795,6.192018037388815
saddlepoint,cfl,6.905685407454201,6.068051116674795
saddlepoint,cfl,6.9454832596336065,5.937539762968131
saddlepoint,cfl,6.985287428932407,5.798735904033831
saddlepoint,cfl,7.025085281111814,5.652179249996464
saddlepoint,cfl,7.064883133291219,5.499815672970258
saddlepoint,cfl,7.104680985470625,5.346025394399474
saddlepoint,cfl,7.1444788376500314,5.195923282479075
saddlepoint,cfl,7.1842830069488315,5.053678163234426
saddlepoint,cfl,7.224080859128238,4.922190713024237
saddlepoint,cfl,7.263878711307644,4.802353658400178
saddlepoint,cfl,7.30367656348705,4.694229802595133
saddlepoint,cfl,7.34348073278585,4.596840901363254
saddlepoint,cfl,7.3832785849652565,4.5140325860102175
saddlepoint,cfl,7.423076437144663,4.452996264252182
saddlepoint,cfl,7.462874289324068,4.394012631981861
saddlepoint,cfl,7.502678458622867,4.336503213371057
saddlepoint,cfl,7.542476310802275,4.280201187738743
saddlepoint,cfl,7.5822741629816806,4.224696219018721
saddlepoint,cfl,7.622072015161087,4.169729063083008
saddlepoint,cfl,7.661869867340493,4.115068078166822
saddlepoint,cfl,7.701674036639292,4.0605053522084456
saddlepoint,cfl,7.741471888818699,4.00576499712653
saddlepoint,cfl,7.7812697409981055,3.950569618130192
saddlepoint,cfl,7.821067593177512,3.894652964739723
saddlepoint,cfl,7.860871762476311,3.837642827169679
saddlepoint,cfl,7.900669614655716,3.7791932515190823
saddlepoint,cfl,7.940467466835124,3.718997275645854
saddlepoint,cfl,7.98026531901453,3.656855715920549
saddlepoint,cfl,8.020069488313329,3.592409903398623
saddlepoint,cfl,8.059867340492735,3.5254040423998236
saddlepoint,cfl,8.099665192672141,3.4557437392551047
saddlepoint,cfl,8.13946304485155,3.383399241087705
saddlepoint,cfl,8.179267214150348,3.308449782313724
saddlepoint,cfl,8.219065066329753,3.231004226664896
saddlepoint,cfl,8.258862918509159,3.151462507168869
saddlepoint,cfl,8.298660770688565,3.0702082876983705
saddlepoint,cfl,8.338458622867973,2.9881120422717844
saddlepoint,cfl,8.378262792166772,2.9057551422504306
saddlepoint,cfl,8.418060644346179,2.8241457347352195
saddlepoint,cfl,8.457858496525585,2.7446964299594665
saddlepoint,cfl,8.49765634870499,2.6674742703765775
saddlepoint,cfl,8.53746051800379,2.5931604567453457
saddlepoint,cfl,8.577258370183197,2.52232468537951
saddlepoint,cfl,8.617056222362603,2.455317252917199
saddlepoint,cfl,8.656854074542009,2.392278093919874
saddlepoint,cfl,8.696658243840808,2.333244278383861
saddlepoint,cfl,8.736456096020214,2.278248365836236
saddlepoint,cfl,8.77625394819962,2.2270042754456294
saddlepoint,cfl,8.816051800379027,2.179453955406115
saddlepoint,cfl,8.855855969677828,2.1352842462280637
saddlepoint,cfl,8.895653821857234,2.0942634623532763
saddlepoint,cfl,8.93545167403664,2.0561269941007
saddlepoint,cfl,8.975249526216045,2.020782524049033
saddlepoint,cfl,9.015047378395451,1.9879920804086688
saddlepoint,cfl,9.054851547694252,1.9574737288892061
saddlepoint,cfl,9.094649399873658,1.9290274742085616
saddlepoint,cfl,9.134447252053064,1.9023679687222865
