prescription,R_fm,W_MeV
LCN,8.902965931863728,-39867.48030344419
LCN,8.926973947895792,-40460.921865538854
LCN,8.950981963927855,-41059.01651845305
LCN,8.97498997995992,-41661.780671981134
LCN,8.998997995991983,-42269.23073591717
LCN,9.023006012024048,-42881.383120055485
LCN,9.047014028056113,-43498.254234190215
LCN,9.071022044088176,-44119.86048811543
LCN,9.09503006012024,-44746.21829162551
LCN,9.119038076152304,-45377.34405451447
LCN,9.143046092184369,-46013.25418657661
LCN,9.167054108216433,-46653.96509760615
LCN,9.191062124248496,-47299.49319739717
LCN,9.215070140280561,-47949.85489574396
LCN,9.239078156312626,-48605.06660244067
LCN,9.26308617234469,-49265.14472728147
LCN,9.287094188376754,-49930.10568006057
LCN,9.311102204408817,-50599.96587057212
LCN,9.335110220440882,-51274.74170861038
LCN,9.359118236472947,-51954.44960396955
LCN,9.38312625250501,-52639.10596644372
LCN,9.407134268537074,-53328.72720582716
LCN,9.431142284569138,-54023.32973191401
LCN,9.455150300601202,-54722.929954498555
LCN,9.479158316633267,-55427.54428337488
LCN,9.50316633266533,-56137.18912833721
LCN,9.527174348697395,-56851.88089917977
LCN,9.551182364729458,-57571.636005696666
LCN,9.575190380761523,-58296.470857682216
LCN,9.599198396793588,-59026.401864930536
LCN,9.62320641282565,-59761.44543723574
LCN,9.647214428857716,-60501.61798439217
LCN,9.67122244488978,-61246.935916193936
LCN,9.695230460921843,-61997.41564243521
LCN,9.719238476953908,-62753.07357291023
LCN,9.743246492985971,-63513.92611741311
LCN,9.767254509018036,-64279.98968573818
LCN,9.7912625250501,-65051.28068767951
LCN,9.815270541082164,-65827.81553303132
LCN,9.839278557114229,-66609.6106315878
LCN,9.863286573146292,-67396.68239314313
LCN,9.887294589178357,-68189.04722749154
LCN,9.911302605210421,-68986.72154442722
LCN,9.935310621242484,-69789.72175374432
LCN,9.95931863727455,-70598.06426523709
LCN,9.983326653306614,-71411.7654886996
LCN,10.007334669338677,-72230.84183392611
LCN,10.031342685370742,-73055.3097107109
LCN,10.055350701402805,-73885.185528848
LCN,10.07935871743487,-74720.48569813176
LCN,10.103366733466935,-75561.22662835625
LCN,10.127374749498998,-76407.42472931567
LCN,10.151382765531062,-77259.09641080428
LCN,10.175390781563125,-78116.25808261622
LCN,10.19939879759519,-78978.92615454568
LCN,10.223406813627255,-79847.11703638692
LCN,10.247414829659318,-80720.84713793395
LCN,10.271422845691383,-81600.13286898119
LCN,10.295430861723446,-82484.99063932267
LCN,10.31943887775551,-83375.43685875268
LCN,10.343446893787576,-84271.4879370654
LCN,10.367454909819639,-85173.1602840549
LCN,10.391462925851704,-86080.47030951545
LCN,10.415470941883768,-86993.4344232413
LCN,10.439478957915831,-87912.0690350266
LCN,10.463486973947896,-88836.39055466541
LCN,10.48749498997996,-89766.41539195209
LCN,10.511503006012024,-90702.15995668084
LCN,10.535511022044089,-91643.64065864575
LCN,10.559519038076152,-92590.87390764098
LCN,10.583527054108217,-93543.87611346086
LCN,10.60753507014028,-94502.66368589949
LCN,10.631543086172345,-95467.25303475116
LCN,10.65555110220441,-96437.66056980987
LCN,10.679559118236472,-97413.90270086989
LCN,10.703567134268537,-98395.99583772558
LCN,10.727575150300602,-99383.95639017096
LCN,10.751583166332665,-100377.8007680001
LCN,10.77559118236473,-101377.54538100754
LCN,10.799599198396793,-102383.20663898706
LCN,10.823607214428858,-103394.80095173322
LCN,10.847615230460923,-104412.34472903999
LCN,10.871623246492986,-105435.85438070161
LCN,10.89563126252505,-106465.3463165123
LCN,10.919639278557113,-107500.83694626621
LCN,10.943647294589178,-108542.34267975757
LCN,10.967655310621243,-109589.87992678062
LCN,10.991663326653306,-110643.46509712943
LCN,11.015671342685371,-111703.11460059823
LCN,11.039679358717434,-112768.84484698117
LCN,11.063687374749499,-113840.67224607259
LCN,11.087695390781564,-114918.61320766661
LCN,11.111703406813627,-116002.68414155726
LCN,11.135711422845691,-117092.901457539
LCN,11.159719438877756,-118189.2815654059
LCN,11.18372745490982,-119291.84087495203
LCN,11.207735470941884,-120400.59579597169
LCN,11.231743486973947,-121515.56273825906
LCN,11.255751503006012,-122636.75811160833
LCN,11.279759519038077,-123764.19832581378
LCN,11.30376753507014,-124897.89979066947
LCN,11.327775551102205,-126037.8789159696
LCN,11.351783567134268,-127184.15211150845
LCN,11.375791583166333,-128336.73578708022
LCN,11.399799599198397,-129495.64635247903
LCN,11.42380761523046,-130660.90021749894
LCN,11.447815631262525,-131832.51379193438
LCN,11.47182364729459,-133010.5034855795
